"","1","2","3","4","5","6","7","8","9","10"
"ANC",0.112380007233612,1.72315000608618,0.700404512775298,0.927132034239511,0.886952417376182,0.782021404856272,0.81948475395354,0.633936042008929,0.613431735511575,0.696489735131469
"BFT",1738.83693965604,93604.4771430591,292265.631955497,425445.212151934,491668.498747014,527421.736542718,520739.29958225,484592.319008003,419987.728915093,365696.985530302
"BIL",9347.82858782471,488429.344598344,1340251.20804627,3067252.68381525,3542264.88873683,3574451.53378384,3304966.72369598,2797906.14627687,2156288.5046375,1617700.95531109
"BLF",53.0693206118704,605.045298451277,542.902779697411,748.884420087526,766.800601380668,818.480969538776,822.130990707018,826.240990983649,827.945292914799,816.466139821863
"BLS",5.09692052628391,2599.28234997664,6703.39973986095,9011.65492300792,8682.8539957493,8278.63379793678,7779.16948462433,7422.26543967718,7284.61577782478,7162.38943367781
"BPF",2.28422835426326,19.3127887363294,2.3003688987169,13.9971291366556,21.7571464241014,14.8747759862226,11.9732402488074,10.7061546407932,9.64678550225202,8.379954202235
"BSB",16.1283022845839,317.476165470155,562.422715479684,675.96495287273,700.544136042604,690.554709600931,653.616214200508,614.40639447969,583.273941049237,543.430831939127
"BUT",5.38479522352612,94.2611751595878,17.2241071029153,40.0889303686757,62.5150570956854,48.3102755501297,43.4656648293574,39.6847792560537,38.2458349107858,40.2282109902293
"BWH",381015.190139884,45288130.7951257,16105083.6162621,5054825.96653215,1492105.31316197,511692.614676058,188091.686241526,87488.7521389926,51180.0792089182,35834.940417096
"COD",3.08297301546201,92.9746654693713,198.166867239991,354.469386743382,475.764871123709,573.823255571026,636.41760703748,673.161334669468,702.825138882707,715.522504573549
"DOG",7.13732552597576,338.306390780592,548.725965662683,929.395891043103,914.753233645225,853.399902694456,767.427067378396,661.00718670736,603.346720782373,553.758254587424
"DRM",3.38376444923853,29.438765543669,32.3792381889978,28.5540229818932,24.5617488749276,22.4041025625151,20.469641746972,18.7547395849947,18.099819472491,17.0897286316333
"DSH",305.224390033198,9523.44347208083,18976.6136983328,14838.9338549434,11352.8752579824,9085.60720113949,7405.00647568171,6417.46378737335,5529.89340703116,5126.6028139015
"FDE",5.09767764984852,89.233145112096,48.4676170803172,80.8244969157216,68.4313945495182,55.000797515658,49.1891537139279,43.9261609403416,39.3911993741026,35.7743954183431
"FDF",0.205474555560191,8.73619988534812,16.8003195033192,25.7588462342994,33.9581199693556,40.1769604761569,44.6910455592954,48.3898614118365,49.8219641558443,50.2352326228006
"FLA",0.0186413171997898,0.606494274579557,1.39937007320895,1.25392891613496,2.28957574150379,3.59079540192074,5.26229798399987,6.75807874040498,7.46178212870344,7.43562444279463
"FOU",0.393468001292829,10.7003922725539,22.5695607053357,25.7208257206881,29.9962587430524,29.3156275442791,28.1596772292259,23.5203390240103,22.9898406159967,21.8595093689362
"GOO",0.532687507147959,21.3248294400864,34.5996214113767,55.4955696671977,88.8057985892974,129.91687121187,163.452942514815,206.272933413215,235.918514857324,271.156669323704
"HAD",2.44669117241702,34.6597028275338,43.2968461986008,42.5882859432361,40.1032876327719,36.711150311233,33.8980487386358,32.3589114671656,29.706856426425,27.88592373189
"HAL",4.27704007897443,208.956267938333,699.799562299681,1355.03222483457,2418.93640398994,3326.00644990537,4132.32815510968,4881.86670242701,5573.54628794176,6113.46217917055
"HER",0.0454785881435986,21.3397518097242,42.2324663740959,63.8097406573099,67.8608612722037,72.267355316928,77.2093304401684,77.564953987319,74.5373121725332,72.531753393514
"INV",7.6020464775495,79.7602689877583,75.3993872589104,65.3244922602746,54.5034109692111,46.8413312706441,40.6205637493612,37.2483638698158,34.9110537145131,32.1259493970621
