"","1","2","3","4","5","6","7","8","9","10"
"ANC",0.0932203389830508,1.3974358974359,0.543859649122807,0.756578947368421,0.741007194244604,0.641791044776119,0.661538461538462,0.503937007874016,0.483870967741935,0.55
"BFT",369.35,45082.3131313131,181259.606060606,300436.15,380887.37,436349.28,452059.7,436000.58,388033.99,344651.5
"BIL",121.774193548387,19445.1973684211,81150.1474358974,232211.9625,303739.572289157,336035.351190476,335224.173652695,298992.74251497,235999.729411765,179013.344827586
"BLF",2.80645161290323,46.9760479041916,56.8448275862069,97.6863905325444,115,136.482142857143,148.634730538922,159,167.478787878788,171.926829268293
"BLS",4.94166666666667,6826.18085106383,20684.0721649485,29368.887755102,28967.4234693878,28221.6424870466,27003.3915343915,26299.0543478261,26229.9833333333,26078.8474576271
"BPF",2.00826446280992,14.2709677419355,1.56741573033708,12.1788617886179,18.5396825396825,12.3435114503817,9.9618320610687,8.90076335877863,8.06923076923077,7.05426356589147
"BSB",0.605095541401274,26.45,58.1167883211679,77.5294117647059,85.6222222222222,88.0223880597015,85.6917293233083,82.1742424242424,79.8153846153846,75.2170542635659
"BUT",2.36363636363636,34.725,5.3984375,12,17.5126050420168,12.8235294117647,11.1610169491525,9.88983050847458,9.45689655172414,9.85217391304348
"BWH",7271199.42,2459552556.71111,640478382.117647,158111005.517241,38679260.969697,11336162.48,3621867.82352941,1524403.7311828,821552.53,542299.685714286
"COD",0.693989071038251,37.6686746987952,104.398601398601,201.130136986301,285.635135135135,358.18,413.006666666667,452.798657718121,487.236486486487,508.741496598639
"DOG",1.13084112149533,161.94495412844,360.935185185185,718.85046728972,777.009433962264,767.161904761905,721.563106796116,637.029411764706,586.225490196078,545.930693069307
"DRM",3.88372093023256,53.8362068965517,63.3474576271187,57.3813559322034,50.2307692307692,45.974358974359,42.042735042735,38.8362068965517,37.4568965517241,35.6347826086957
"DSH",48.6603773584906,5267.43125,12571.2303030303,10677.8679245283,8674.83333333333,7202.78321678322,6127.33333333333,5475.27906976744,4873.69105691057,4684.76923076923
"FDE",4.44262295081967,60.8529411764706,32.4301675977654,55.9181286549708,47.3662790697674,39.2168674698795,35.8944099378882,32.6496815286624,29.843137254902,27.6510067114094
"FDF",0.17741935483871,6.00578034682081,11.7810650887574,18.4181818181818,24.4024390243902,29.1604938271605,32.937106918239,36.0063694267516,37.6168831168831,38.4569536423841
"FLA",0.016,0.422619047619048,0.959537572254335,0.953333333333333,1.80985915492958,2.74496644295302,3.92857142857143,5.17687074829932,5.71917808219178,5.75694444444444
"FOU",0.0575539568345324,3.2,9.26865671641791,13.256,17.1574803149606,18.1181102362205,18.56,16.327868852459,16.5333333333333,16.1779661016949
"GOO",0.482758620689655,16.3424657534247,26.3,43.8732394366197,72.0656934306569,106.132352941176,133.029197080292,166.251798561151,189.457142857143,216.652482269504
"HAD",2.34224598930481,45.0777777777778,57.1166666666667,55.5898876404494,51.6818181818182,47.0982658959538,43.7159763313609,41.9036144578313,38.9197530864197,37.0379746835443
"HAL",1.00751879699248,77.3832335329341,304.239520958084,662.8,1249.49068322981,1790.12962962963,2308.50617283951,2829.29813664596,3316.11801242236,3741.2125
"HER",0.0373134328358209,10.8653846153846,24.4562211981567,42.3485714285714,46.7831325301205,51.4842767295597,55.5859872611465,56.3870967741936,54.5649350649351,52.6730769230769
"INV",1.54494382022472,28.3589743589744,30.7516339869281,28.205298013245,24.3783783783784,21.5833333333333,19.0425531914894,17.7463768115942,16.9037037037037,15.8030303030303
"LSK",1.22131147540984,36.8525641025641,66.8653846153846,75.6470588235294,73.5167785234899,71.3356164383562,69.2222222222222,64.7375886524823,63.2230215827338,59.7058823529412
"MAK",0.453703703703704,11.8070175438597,18.7913043478261,36.981981981982,52.9727272727273,59.1801801801802,66.8918918918919,69.0089285714286,70.4821428571428,73.716814159292
"MEN",0.372549019607843,23.1637931034483,24.5384615384615,37.3739130434783,42.5614035087719,48.6842105263158,53.719298245614,56.3157894736842,57.640350877193,57.3157894736842
"MPF",0.00813008130081301,0.154838709677419,0.196428571428571,0.236363636363636,0.203821656050955,0.221476510067114,0.295302013422819,0.439759036144578,0.479166666666667,0.417840375586854
"OHK",1.67924528301887,18.7260273972603,19.4625850340136,16.9103448275862,14.7446808510638,12.9710144927536,11.3259259259259,10.4318181818182,10.1015625,9.36
"OPT",0.171122994652406,7.42261904761905,23.3727810650888,41.6588235294118,58.5621301775148,74.3592814371258,86.4848484848485,97.239263803681,105.521739130435,96.6078431372549
"PIN",1119505.45,90089526.6949153,74694481.2758621,50218751.8305085,29812138.1639344,19218755.3387097,12812185.46875,8618504.95454545,5734969.04477612,4098251.10144928
"PLA",0.251700680272109,10.9020979020979,23.4402985074627,27.8230769230769,37.175572519084,42.7443609022556,43.4812030075188,43.4328358208955,42.1268656716418,38.7878787878788
"POL",2.14761904761905,75.151832460733,178.005235602094,262.078534031414,314.931216931217,343.860215053763,361.335164835165,364.387640449438,314.142857142857,315.254658385093
"POR",11.40625,12350.9090909091,37491.7135678392,51228.635,42080.2361809045,28822.6321243523,20226.0860215054,17026.3631284916,15538.2080924855,15751.2958579882
"PSH",5.60666666666667,1782.56129032258,5866.42580645161,8288.94805194805,7826.15333333333,7070.15384615385,6479.11764705882,6024.45736434108,5961.18548387097,5991.4
"RED",0.03,0.660919540229885,2.06629834254144,3.77472527472527,5.46666666666667,6.94972067039106,8.42937853107345,9.52272727272727,10.4104046242775,10.8705882352941
"REP",227700.81,15262291.7068966,8824362.45,4138717.36507936,1816839.94117647,896753.25,473705.302631579,276723.9875,185384.638554217,140748.058139535
"RHK",0.402173913043478,13.3352601156069,29.5664739884393,40.9181286549708,48.0650887573965,50.0301204819277,51.6503067484663,50.5,49.0709677419355,46.6333333333333
"RWH",9050097.21,2475303727.26087,807504329.42,224955399.214286,48098480.1515151,12276401.1733333,4021130.5,1840022.89130435,980921.408163265,606484.116504854
"SAL",138.9453125,23346.4242424242,50940.2706766917,69932.3533834586,80478.9323308271,85073.8244274809,85498.8372093023,87005.03125,82590.2777777778,78975.2983870968
"SB",33981.41,5980096.2,8364765.10344828,6427904.33898305,4361702.7,2993529.09836066,2119681.70967742,1598656.76190476,1191017.390625,927964.030769231
"SCU",0.19047619047619,8.25531914893617,20.4014598540146,30.1176470588235,36.8444444444444,40.0970149253731,41.7651515151515,41.6870229007634,42.2480620155039,41.9147286821705
"SDF",2.33684210526316,33.9198113207547,84.6893203883495,156.402985074627,242.034825870647,337.485,433.226130653266,523.086294416244,619.319587628866,721.309278350515
"SHK",0.475247524752475,53.2222222222222,46.2230769230769,98.5069444444444,158.700680272109,229.041379310345,339.603053435114,414.967479674797,475.868852459016,509.114754098361
"SK",2.96124031007752,108.864864864865,255.953642384106,320.493333333333,344.081632653061,350.804195804196,345.078014184397,326.123188405797,310.477611940299,286.284615384615
"SMO",14.9099099099099,270.019230769231,482.828828828829,365.026785714286,291.468468468468,260.678899082569,240.694444444444,219.962264150943,199.428571428571,190.134615384615
"SSH",1.42477876106195,699.756097560976,3778.27611940298,6274,7844.16666666667,8565.68992248062,8506.19047619048,8098.03225806452,7403.12195121951,6491.62295081967
"STB",1.30909090909091,52.0909090909091,119.073619631902,174.211180124224,213.276729559748,237.254777070064,250.296774193548,253.282894736842,250.128378378378,246.08275862069
"SUF",3.81666666666667,100.796460176991,237.578947368421,325.867256637168,424.884955752212,467.238938053097,458.044247787611,444.336283185841,448.972972972973,444.594594594595
"SWH",1876816.12,2289086807.10256,815720950.619048,256624667.533333,69249771.6,19170118.9464286,6641916.85483871,2376590.67647059,1015953,551911.641025641
"TAU",0.321428571428571,11.6842105263158,34.3615384615385,59.3488372093023,82.59375,105.314960629921,122.007936507936,134.864,143.395161290323,149.235772357724
"TUN",85.0157480314961,3918.125,8680.71794871795,8955.7125,7549.33333333333,5813.4156626506,3889.03448275862,2418.47311827957,1420.85572139304,803.953917050691
"TWH",29830821.67,26232234173.6829,9631312531.45455,2529844135.46939,683740317.333333,210269999.35,76700316.0923077,35073987.5428571,17799605.6216216,10427953.6410256
"TYL",0.463768115942029,50.2962962962963,157.139705882353,269.786764705882,371.807407407407,456.222222222222,505.320895522388,552.761194029851,567.203007518797,586.886363636364
"WHK",1.60162601626016,31.8128078817734,38.9951923076923,73.5685279187817,124.34375,168.047120418848,211.267015706806,254.709844559585,286.253886010363,320.229166666667
"WIF",14.7943262411348,78.0547945205479,49.448275862069,59.9280575539568,61.3712121212121,52.6190476190476,49.9593495934959,47.5206611570248,46.2352941176471,45.3846153846154
"WOL",0.153374233128834,4.71739130434783,20.006711409396,46.5220125786163,78.6347305389222,114.666666666667,153.236994219653,195.132947976879,236.341040462428,276.837209302326
"WPF",0.197183098591549,7.20454545454545,12.1796875,15.609756097561,19.2727272727273,19.9262295081967,18.675,17.864406779661,16.8275862068966,16.0877192982456
"WSK",0.809917355371901,63.9875776397515,223.012422360248,344.792452830189,449.102564102564,537.045454545455,604.888157894737,643.456375838926,666.924657534247,687.167832167832
"WTF",0.114285714285714,4.70503597122302,13.8540145985401,22.8604651162791,33.9453125,39.9765625,45.5736434108527,48.3759398496241,47.9850746268657,50.837037037037
"YTF",0.487179487179487,7.46153846153846,6.49056603773585,9.9281045751634,10.5677419354839,10.6688311688312,10.3071895424837,9.81879194630872,9.68707482993197,9.25
